bool,1,b
sint,8,n
usint,8,n
uint,16,n
int,16,n
dint,32,n
udint,32,n
ulint,64,n
lint,64,n
byte,8,n
word,16,n
dword,32,n
lword,64,n
real,32,f
lreal,64,f
string,8,s
time,32,t
ltime,64,t
date,32,d
ldate,64,d
date_and_time,32,dt
dt,32,dt
ldate_and_time,64,dt
ldt,64,dt
time_of_day,32,tod
tod,32,tod
ltime_of_day,64,tod
ltod,64,tod
